Movie,Release,Rating
Who Framed Roger Rabbit,1988,7.7
21 Grams,2003,7.7
Midnight Run,1988,7.6
The Bourne Ultimatum,2007,8
Falling Down,1993,7.6
Close Encounters of the Third Kind,1977,7.7
The Elephant Man,1980,8.2
Let the Right One In,2008,7.9
25th Hour,2002,7.7
The Wrestler,2008,7.9
Road to Perdition,2002,7.7
Hotel Rwanda,2004,8.1
Kramer vs. Kramer,1979,7.8
Cinema Paradiso,1988,8.5
Die Hard: With a Vengeance,1995,7.6
The Treasure of the Sierra Madre,1948,8.2
Milk,2008,7.6
Ice Age,2002,7.5
Lethal Weapon,1987,7.6
My Neighbor Totoro,1988,8.2
Seven Pounds,2008,7.6
Clerks,1994,7.8
The Maltese Falcon,1941,8.1
Grave of the Fireflies,1988,8.5
Beasts of No Nation,2015,7.8
The Nightmare Before Christmas,1993,8
Adaptation.,2002,7.7
The Ten Commandments,1956,7.9
Sunset Boulevard,1950,8.4
Gandhi,1982,8.1
Blow-Up,1966,7.6
Battle Royale,2000,7.7
Romeo and Juliet,1968,7.6
Planet of the Apes,1968,8
The Wild Bunch,1969,8
A Streetcar Named Desire,1951,8
The Last Picture Show,1971,8.1
Sophie's Choice,1982,7.6
JFK,1991,8
Who's Afraid of Virginia Woolf?,1966,8
North by Northwest,1959,8.3
Withnail & I,1987,7.8
The Last Emperor,1987,7.8
Pride,2014,7.8
Enter the Dragon,1973,7.7
Fiddler on the Roof,1971,8
Bonnie and Clyde,1967,7.9
The Skin I Live In,2011,7.6
Donnie Brasco,1997,7.8
The Fall,2006,7.9
Lost Highway,1997,7.6
Match Point,2005,7.6
Snow White and the Seven Dwarfs,1937,7.6
High Noon,1952,8
The Abyss,1989,7.6
Hachi: A Dog's Tale,2009,8.1
The Day the Earth Stood Still,1951,7.8
In the Mood for Love,2000,8.1
Grindhouse,2007,7.6
It Happened One Night,1934,8.1
The Right Stuff,1983,7.9
"Blood In, Blood Out",1993,8
"Paris, Texas",1984,8.1
Before Midnight,2013,7.9
The Birds,1963,7.7
Come and See,1985,8.2
The Name of the Rose,1986,7.8
The Best Offer,2013,7.8
A Fish Called Wanda,1988,7.6
All About Eve,1950,8.3
Sabrina,1954,7.7
50/50,2011,7.7
Key Largo,1948,7.9
For a Few Dollars More,1965,8.3
Rise of the Planet of the Apes,2011,7.6
A Fistful of Dollars,1964,8
The Iron Giant,1999,8
The Jungle Book,1967,7.6
The Illusionist,2006,7.6
I Saw the Devil,2010,7.8
Ordinary People,1980,7.8
Solaris,1971,8.1
Flipped,2010,7.7
M,1931,8.3
Fried Green Tomatoes,1991,7.7
The Apartment,1960,8.3
On the Waterfront,1954,8.2
Dawn of the Dead,1978,7.9
Awakenings,1990,7.8
Changeling,2008,7.7
Kung Fu Hustle,2004,7.8
The French Connection,1971,7.8
Before Sunset,2004,8.1
Boys Don't Cry,1999,7.6
Finding Neverland,2004,7.7
The Body,2012,7.6
East of Eden,1955,8
The Last King of Scotland,2006,7.7
The Man from Earth,2007,7.9
The Bridge on the River Kwai,1957,8.2
What Ever Happened to Baby Jane?,1962,8.1
Serpico,1973,7.8
Me and Earl and the Dying Girl,2015,7.8
Cinderella Man,2005,8
A Single Man,2009,7.6
The Insider,1999,7.9
Dirty Harry,1971,7.8
Escape from Alcatraz,1979,7.6
Army of Darkness,1992,7.6
Dancer in the Dark,2000,8
The Conversation,1974,7.9
The Secret of NIMH,1982,7.6
Memories of Murder,2003,8.1
Kubo and the Two Strings,2016,7.8
Rushmore,1998,7.7
Lord of War,2005,7.6
The Raid 2,2014,8
Paths of Glory,1957,8.4
Roman Holiday,1953,8.1
PK,2014,8.2
Perfect Strangers,2016,7.8
The Quiet Man,1952,7.8
Ed Wood,1994,7.9
Guess Who's Coming to Dinner,1967,7.8
8½,1963,8.1
The Seventh Seal,1957,8.2
The Last Temptation of Christ,1988,7.6
Rebecca,1940,8.1
Robin Hood,1973,7.6
The Third Man,1949,8.2
The Remains of the Day,1993,7.9
The Wicker Man,1973,7.6
The Great Beauty,2013,7.8
Ponyo,2008,7.7
Christmas Vacation,1989,7.6
I Am Sam,2001,7.6
Hero,2002,7.9
After Hours,1985,7.7
Like Stars on Earth,2007,8.4
The Naked Gun: From the Files of Police Squad!,1988,7.6
Ip Man,2008,8
Night of the Living Dead,1968,7.9
Glengarry Glen Ross,1992,7.8
Evil Dead II,1987,7.8
The Hurricane,1999,7.6
Miller's Crossing,1990,7.8
Pink Floyd: The Wall,1982,8
Cabaret,1972,7.8
Neon Genesis Evangelion: The End of Evangelion,1997,8.3
Shane,1953,7.7
Giant,1956,7.7
Naked,1993,7.9
Nausicaä of the Valley of the Wind,1984,8.1
La Dolce Vita,1960,8.1
Forbidden Planet,1956,7.6
Letters from Iwo Jima,2006,7.9
La Haine,1995,8.1
Watership Down,1978,7.7
The Longest Day,1962,7.8
The Omen,1976,7.6
Lucky Number Slevin,2006,7.8
The Time Machine,1960,7.6
Gangs of Wasseypur,2012,8.2
The Searchers,1956,8
My Left Foot,1989,7.9
Hedwig and the Angry Inch,2001,7.8
Nosferatu,1922,8
La Vie en Rose,2007,7.6
Victoria,2015,7.7
Run Lola Run,1998,7.7
The Outlaw Josey Wales,1976,7.9
Mommy,2014,8.1
Star Trek II: The Wrath of Khan,1982,7.7
The Salesman,2016,7.8
Chungking Express,1994,8.1
Winter Sleep,2014,8.2
King Kong,1933,7.9
Funny Games,1997,7.6
In America,2002,7.8
Song of the Sea,2014,8.1
Hamlet,1996,7.8
The Diving Bell and the Butterfly,2007,8
Freaks,1932,7.9
United 93,2006,7.6
Amour,2012,7.9
Hunger,2008,7.6
Ran,1985,8.2
Once,2007,7.9
Double Indemnity,1944,8.3
Stranger Than Fiction,2006,7.6
The Little Prince,2015,7.7
The Killing Fields,1984,7.9
Paper Moon,1973,8.1
Barton Fink,1991,7.7
The Red Violin,1998,7.7
October Sky,1999,7.8
The Man Who Shot Liberty Valance,1962,8.1
Black Book,2006,7.8
Perfect Blue,1997,7.9
This Is England,2006,7.7
Rio Bravo,1959,8
Zulu,1964,7.8
The Verdict,1982,7.8
Chaplin,1992,7.6
Breathless,1960,7.9
Modern Times,1936,8.5
A Man for All Seasons,1966,7.8
Rashomon,1950,8.3
A Man Called Ove,2015,7.7
Belle de Jour,1967,7.8
The Great Dictator,1940,8.5
Castle in the Sky,1986,8.1
Witness for the Prosecution,1957,8.4
Kiki's Delivery Service,1989,7.9
Breaking the Waves,1996,7.9
Days of Heaven,1978,7.9
Persona,1966,8.1
The Mirror,1975,8.1
Mary and Max,2009,8.1
Rope,1948,8
Where Eagles Dare,1968,7.7
Three Colors: Red,1994,8.1
Nebraska,2013,7.7
Harold and Maude,1971,8
The King of Comedy,1982,7.8
Dial M for Murder,1954,8.2
Blood Simple,1984,7.6
City Lights,1931,8.5
Henry V,1989,7.6
Patton,1970,8
Dead Man's Shoes,2004,7.7
The Guns of Navarone,1961,7.6
The Lion in Winter,1968,8.1
The Sea Inside,2004,8
Ayla: The Daughter of War,2017,8.7
Badlands,1973,7.9
The Philadelphia Story,1940,8
All Quiet on the Western Front,1930,8.1
Kelly's Heroes,1970,7.7
The Player,1992,7.6
Judgment at Nuremberg,1961,8.2
Manhattan,1979,8
Elite Squad,2007,8.1
Being There,1979,8
The Flowers of War,2011,7.6
Mr. Smith Goes to Washington,1939,8.2
Drishyam,2015,8.3
The Killing,1956,8
Dead Man,1995,7.7
Volver,2006,7.6
Thank You for Smoking,2005,7.6
Bicycle Thieves,1948,8.3
Zindagi Na Milegi Dobara,2011,8.1
A Prophet,2009,7.9
"Planes, Trains & Automobiles",1987,7.6
The Manchurian Candidate,1962,8
The Day of the Jackal,1973,7.8
Happiness,1998,7.8
Waking Life,2001,7.8
The Night of the Hunter,1955,8
Open Your Eyes,1997,7.8
A Christmas Story,1983,8
Tangerines,2013,8.2
Jeremiah Johnson,1972,7.6
Fanny and Alexander,1982,8.1
Fantasia,1940,7.8
Notorious,1946,8
Andrei Rublev,1966,8.2
On Golden Pond,1981,7.7
"I, Daniel Blake",2016,7.9
The Straight Story,1999,8
The Best Years of Our Lives,1946,8.1
Infernal Affairs,2002,8.1
The Celebration,1998,8.1
The Man Who Wasn't There,2001,7.6
Three Colors: Blue,1993,8
5 Centimeters Per Second,2007,7.7
Strangers on a Train,1951,8
The Wind Rises,2013,7.8
Land of Mine,2015,7.8
Children of Heaven,1997,8.3
Paprika,2006,7.7
The Producers,1967,7.7
House of Sand and Fog,2003,7.6
The African Queen,1951,7.9
The Man from Nowhere,2010,7.8
The Hustler,1961,8
Frankenstein,1931,7.9
The Grapes of Wrath,1940,8.1
The Man Who Would Be King,1975,7.9
The Adventures of Robin Hood,1938,8
Brief Encounter,1945,8.1
Philomena,2013,7.6
Good Bye Lenin!,2003,7.7
Frost/Nixon,2008,7.7
"South Park: Bigger, Longer & Uncut",1999,7.8
The Kite Runner,2007,7.6
The Wave,2008,7.6
Touch of Evil,1958,8
Stagecoach,1939,7.9
Repulsion,1965,7.8
A Very Long Engagement,2004,7.7
Mysterious Skin,2004,7.7
The Big Sleep,1946,8
Arrietty,2010,7.6
The Great Debaters,2007,7.6
Underground,1995,8.1
The Motorcycle Diaries,2004,7.8
Talk to Her,2002,8
Weekend,2011,7.6
The White Ribbon,2009,7.8
The Message,1976,8.2
The 400 Blows,1959,8.1
Yojimbo,1961,8.3
"Duck, You Sucker",1971,7.7
Control,2007,7.7
Shine,1996,7.7
The Chaser,2008,7.9
Head-On,2004,7.9
The Odd Couple,1968,7.7
Mustang,2015,7.6
The Cabinet of Dr. Caligari,1920,8.1
Short Cuts,1993,7.7
The Kid,1921,8.3
The Broken Circle Breakdown,2012,7.8
My Name Is Khan,2010,8
Dracula,1931,7.6
The Meaning of Life,1983,7.6
Detachment,2011,7.7
Sunrise,1927,8.2
Fitzcarraldo,1982,8.1
Lady Vengeance,2005,7.6
Once Were Warriors,1994,7.9
Lagaan: Once Upon a Time in India,2001,8.1
Wolf Children,2012,8.2
Pink,2016,8.2
Baahubali: The Beginning,2015,8.2
Leviathan,2014,7.6
All About My Mother,1999,7.9
La Strada,1954,8.1
Rang De Basanti,2006,8.2
The Girl Who Leapt Through Time,2006,7.8
Once Upon a Time in Anatolia,2011,7.9
Laura,1944,8
Deep Red,1975,7.7
The Station Agent,2003,7.7
Death Note,2006,7.8
Ninja Scroll,1993,7.9
Little Big Man,1970,7.6
"Aguirre, the Wrath of God",1972,8
Hannah and Her Sisters,1986,7.9
The City of Lost Children,1995,7.6
Secrets & Lies,1996,8
Anatomy of a Murder,1959,8
Wild Strawberries,1957,8.2
Sympathy for Mr. Vengeance,2002,7.7
Bride of Frankenstein,1935,7.9
The Many Adventures of Winnie the Pooh,1977,7.6
No Man's Land,2001,8
Drunken Master,1978,7.6
Tokyo Story,1953,8.2
The Past,2013,7.8
The Tale of The Princess Kaguya,2013,8
My Father and My Son,2005,8.4
Arsenic and Old Lace,1944,8
The Bandit,1996,8.3
Ikiru,1952,8.3
Invasion of the Body Snatchers,1956,7.8
About Elly,2009,8
The Legend of 1900,1998,8.1
Bringing Up Baby,1938,8
Delicatessen,1991,7.7
The Tenant,1976,7.7
The Vanishing,1988,7.8
His Girl Friday,1940,8
The World's Fastest Indian,2005,7.8
Crimes and Misdemeanors,1989,8
Spellbound,1945,7.6
Persepolis,2007,8.1
The Sweet Hereafter,1997,7.6
Mother,2009,7.8
The Invisible Man,1933,7.7
A Bittersweet Life,2005,7.6
13 Assassins,2010,7.6
Lilya 4-Ever,2002,7.9
Queen,2013,8.2
Love Me If You Dare,2003,7.7
The Double Life of Véronique,1991,7.8
The Passion of Joan of Arc,1928,8.2
"Black Cat, White Cat",1998,8.1
The Purple Rose of Cairo,1985,7.7
The Lunchbox,2013,7.8
Kagemusha,1980,8
Le Samouraï,1967,8.1
The Experiment,2001,7.7
Au Revoir les Enfants,1987,8
Out of the Past,1947,8
The Muppet Movie,1979,7.6
To Have and Have Not,1944,7.9
"Spring, Summer, Fall, Winter... and Spring",2003,8.1
Harvey,1950,8
Cries & Whispers,1972,8.1
Amarcord,1973,7.9
Sleuth,1972,8
Porco Rosso,1992,7.8
Cell 211,2009,7.7
Fearless,2006,7.7
Red River,1948,7.8
You Can Count on Me,2000,7.6
Night on Earth,1991,7.8
The Discreet Charm of the Bourgeoisie,1972,7.9
Elite Squad: The Enemy Within,2010,8.1
Whisper of the Heart,1995,8
Diabolique,1955,8.1
The Chorus,2004,7.9
Departures,2008,8.1
The Battle of Algiers,1966,8.1
Three Colors: White,1994,7.7
The Nights of Cabiria,1957,8.1
Down by Law,1986,7.8
Throne of Blood,1957,8.1
In a Better World,2010,7.6
Baahubali 2: The Conclusion,2017,8.3
The Return,2003,8
The General,1926,8.2
The 39 Steps,1935,7.8
The Lady Vanishes,1938,7.9
