title,year
Groundhog Day,1993
Pirates of the Caribbean: The Curse of the Black Pearl,2003
Children of Men,2006
E.T. the Extra-Terrestrial,1982
The Fighter,I) (2010
Toy Story,1995
Dog Day Afternoon,1975
Oldboy,2003
Office Space,1999
Dallas Buyers Club,2013
The Theory of Everything,2014
Catch Me If You Can,2002
Gravity,2013
Harry Potter and the Half-Blood Prince,2009
Full Metal Jacket,1987
Die Hard,1988
The Curious Case of Benjamin Button,2008
Trainspotting,1996
Airplane!,1980
The Imitation Game,2014
City of God,2002
The Graduate,1967
500 Days of Summer,2009
Indiana Jones and the Last Crusade,1989
Serenity,2005
Sherlock Holmes,2009
The Butterfly Effect,2004
A Beautiful Mind,2001
Mulholland Drive,2001
Star Wars: Episode V - The Empire Strikes Back,1980
Gone with the Wind,1939
Ferris Bueller's Day Off,1986
Superbad,2007
Traffic,2000
The Girl with the Dragon Tattoo,2009
The Machinist,2004
Big Hero 6,2014
Life Is Beautiful,1997
V for Vendetta,2005
The Perks of Being a Wallflower,2012
The Deer Hunter,1978
Moulin Rouge!,2001
The Blind Side,2009
Ratatouille,2007
Warrior,2011
Boogie Nights,1997
Beauty and the Beast,1991
Shaun of the Dead,2004
Monty Python and the Holy Grail,1975
The Sandlot,1993
Lost in Translation,2003
L.A. Confidential,1997
Bridge of Spies,2015
The Magnificent Seven,1960
The Blues Brothers,1980
The Hobbit: The Desolation of Smaug,2013
Finding Nemo,2003
Only the Brave,2017
Hot Fuzz,2007
Batman,1989
Halloween,1978
Cool Hand Luke,1967
The Untouchables,1987
Crash,I) (2004
Blue Velvet,1986
The Wizard of Oz,1939
Sling Blade,1996
The Lives of Others,2006
Into the Wild,2007
Slumdog Millionaire,2008
The Exorcist,1973
X-Men: First Class,2011
Inside Out,I) (2015
The Hunt,2012
Casino,1995
Collateral,2004
Gone Baby Gone,2007
The Handmaiden,2016
28 Days Later...,2002
Up,2009
Papillon,1973
Y Tu Mamá También,2001
The Florida Project,2017
The Man Who Would Be King,1975
What's Eating Gilbert Grape,1993
Breakfast at Tiffany's,1961
Gangs of New York,2002
Mystic River,2003
"Lock, Stock and Two Smoking Barrels",1998
"O Brother, Where Art Thou?",2000
The Godfather: Part III,1990
The Fault in Our Stars,2014
The Town,2010
The Bourne Identity,2002
Amadeus,1984
The Count of Monte Cristo,2002
Argo,2012
When Harry Met Sally...,1989
Almost Famous,2000
Unforgiven,1992
Amélie,2001
District 9,2009
Moonrise Kingdom,2012
Minority Report,2002
"Monsters, Inc.",2001
The Reader,2008
The Impossible,2012
The Thing,1982
WALL·E,2008
The Big Sick,2017
Some Like It Hot,1959
Indiana Jones and the Temple of Doom,1984
The Little Mermaid,1989
Das Boot,1981
Fear and Loathing in Las Vegas,1998
RoboCop,1987
Star Wars: Episode VI - Return of the Jedi,1983
Million Dollar Baby,2004
Howl's Moving Castle,2004
Saw,2004
Dangal,2016
Midnight Run,1988
Kung Fu Hustle,2004
Dead Poets Society,1989
The Hunt for Red October,1990
In Bruges,2008
Twelve Monkeys,1995
Incendies,2010
Midnight in Paris,2011
The Hurt Locker,2008
The King's Speech,2010
The Crow,1994
Downfall,2004
MASH,1970
Billy Elliot,2000
Rush,I) (2013
Enemy at the Gates,2001
Kill Bill: Vol. 2,2004
Little Miss Sunshine,2006
Primal Fear,1996
Misery,1990
Gifted,2017
Cast Away,2000
Sense and Sensibility,1995
Gran Torino,2008
The Pursuit of Happyness,2006
The Philadelphia Story,1940
Star Wars: Episode III - Revenge of the Sith,2005
Walk the Line,2005
Annie Hall,1977
Before Sunrise,1995
Rain Man,1988
Boyhood,I) (2014
Life of Brian,1979
An American Werewolf in London,1981
Shrek,2001
Do the Right Thing,1989
Rear Window,1954
Seven Samurai,1954
Edward Scissorhands,1990
Apollo 13,I) (1995
Blood Diamond,2006
Training Day,2001
The Piano,1993
Willy Wonka & the Chocolate Factory,1971
To Kill a Mockingbird,1962
Goldfinger,1964
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Empire of the Sun,1987
Life of Pi,2012
Mr. Nobody,2009
The Game,1997
The Last of the Mohicans,1992
Blazing Saddles,1974
The Boondock Saints,1999
Eastern Promises,2007
Back to the Future Part II,1989
Paddington 2,2017
It's a Wonderful Life,1946
Moon,2009
Scent of a Woman,1992
The Fugitive,1993
The Last Samurai,2003
Raging Bull,1980
Citizen Kane,1941
Dawn of the Planet of the Apes,2014
Doctor Zhivago,1965
Man on Fire,2004
Chinatown,1974
Star Trek Into Darkness,2013
Dogville,2003
Brazil,1985
Blow,2001
3 Idiots,2009
Toy Story 2,1999
Vertigo,1958
Stalker,1979
Deliverance,1972
Magnolia,1999
Interview with the Vampire: The Vampire Chronicles,1994
Singin' in the Rain,1952
Being John Malkovich,1999
A Few Good Men,1992
Barry Lyndon,1975
Captain Phillips,2013
On the Waterfront,1954
Wild Tales,2014
The Dirty Dozen,1967
Miller's Crossing,1990
Moneyball,2011
Fantastic Mr. Fox,2009
The Bourne Ultimatum,2007
The Secret in Their Eyes,2009
The Bridge on the River Kwai,1957
Kung Fu Panda,2008
Straight Outta Compton,2015
Coraline,2009
High Noon,1952
Kramer vs. Kramer,1979
Gattaca,1997
Lolita,1962
Philadelphia,1993
Inside Man,2006
The Royal Tenenbaums,2001
The Holy Mountain,1973
Princess Mononoke,1997
Dangerous Liaisons,1988
Battle Royale,2000
Rosemary's Baby,1968
All About Eve,1950
The Thin Red Line,1998
Loving Vincent,2017
The Fly,1986
Munich,2005
Bonnie and Clyde,1967
In the Mood for Love,2000
127 Hours,2010
Young Frankenstein,1974
First Blood,1982
Ben-Hur,1959
East of Eden,1955
The Abyss,1989
Cinema Paradiso,1988
Seven Pounds,2008
Ghost in the Shell,1995
The Others,2001
The Great Escape,1963
Road to Perdition,2002
Sing Street,2016
Come and See,1985
The Raid: Redemption,2011
North by Northwest,1959
A Bronx Tale,1993
Grave of the Fireflies,1988
JFK,1991
Midnight Express,1978
Boyz n the Hood,1991
My Fair Lady,1964
The Bourne Supremacy,2004
Ice Age,2002
Let the Right One In,2008
Mississippi Burning,1988
Metropolis,1927
Hachi: A Dog's Tale,2009
The Elephant Man,1980
Die Hard with a Vengeance,1995
3:10 to Yuma,2007
The Right Stuff,1983
End of Watch,2012
Akira,1988
Despicable Me,2010
Close Encounters of the Third Kind,1977
The Wrestler,2008
Kiss Kiss Bang Bang,2005
My Neighbor Totoro,1988
Sleepers,1996
Romeo and Juliet,1968
Malcolm X,1992
The Sting,1973
Lost Highway,1997
"Crouching Tiger, Hidden Dragon",2000
The Color Purple,1985
Butch Cassidy and the Sundance Kid,1969
Fried Green Tomatoes,1991
The Naked Gun: From the Files of Police Squad!,1988
Lethal Weapon,1987
Planet of the Apes,1968
Chungking Express,1994
Midnight Cowboy,1969
Gandhi,1982
Cinderella Man,2005
Hunt for the Wilderpeople,2016
This Is Spinal Tap,1984
Dark City,1998
The Wild Bunch,1969
Sabrina,1954
Grindhouse,2007
A Single Man,2009
Network,1976
The Road Warrior,1981
Who Framed Roger Rabbit,1988
Match Point,2005
Before Sunset,2004
Enter the Dragon,1973
Beasts of No Nation,2015
The Best Offer,2013
Kubo and the Two Strings,2016
Double Indemnity,1944
Rushmore,1998
A Separation,2011
Spartacus,1960
The Nightmare Before Christmas,1993
The Fall,2006
The Secret of NIMH,1982
Snow White and the Seven Dwarfs,1937
All the President's Men,1976
The Birds,1963
The Body,2012
Falling Down,1993
A Fistful of Dollars,1964
The Illusionist,2006
Sophie's Choice,1982
PK,2014
Adaptation.,2002
Solaris,1971
Fiddler on the Roof,1971
The Best Years of Our Lives,1946
Sunset Boulevard,1950
21 Grams,2003
The Man from Earth,2007
I Saw the Devil,2010
50/50,2011
"Blood In, Blood Out",1993
Ray,I) (2004
A Fish Called Wanda,1988
For a Few Dollars More,1965
Rise of the Planet of the Apes,2011
Ran,1985
Roman Holiday,1953
Perfect Strangers,2016
A Streetcar Named Desire,1951
The Artist,I) (2011
Finding Neverland,2004
Hedwig and the Angry Inch,2001
Ayla: The Daughter of War,2017
Milk,I) (2008
Short Term 12,2013
Hero,2002
Me and Earl and the Dying Girl,2015
A Little Princess,1995
"Paris, Texas",1984
The Skin I Live In,2011
Escape from Alcatraz,1979
Hotel Rwanda,2004
The Jungle Book,1967
Before Midnight,2013
The Ten Commandments,1956
The Longest Day,1962
Glory,1989
Lord of War,2005
Changeling,2008
Victoria,II) (2015
Flipped,I) (2010
M,1931
Carlito's Way,1993
The Seventh Seal,1957
Brief Encounter,1945
Donnie Brasco,1997
The Insider,1999
Ed Wood,1994
High Plains Drifter,1973
Serpico,1973
The Apartment,1960
Awakenings,1990
The Hurricane,1999
The Last King of Scotland,2006
Dancer in the Dark,2000
Charade,1963
Shane,1953
The Third Man,1949
In the Name of the Father,1993
The Name of the Rose,1986
Christmas Vacation,1989
The French Connection,1971
Robin Hood,1973
Ip Man,2008
Memories of Murder,2003
Dirty Harry,1971
Blow-Up,1966
Rebel Without a Cause,1955
The Searchers,1956
The Great Dictator,1940
Army of Darkness,1992
The Raid 2,2014
Ordinary People,1980
The Outlaw Josey Wales,1976
Gangs of Wasseypur,2012
Like Stars on Earth,2007
The Last Emperor,1987
Stalag 17,1953
The Last Picture Show,1971
Amores Perros,2000
Evil Dead II,1987
Funny Games,1997
The Great Beauty,2013
Naked,1993
Withnail & I,1987
Clerks,1994
8½,1963
Dawn of the Dead,1978
Lucky Number Slevin,2006
Boys Don't Cry,1999
Ponyo,2008
Rebecca,1940
Hunger,2008
Barton Fink,1991
The Iron Giant,1999
Watership Down,1978
After Hours,1985
Paths of Glory,1957
Perfect Blue,1997
Harold and Maude,1971
Mary and Max,2009
Wings of Desire,1987
Star Trek II: The Wrath of Khan,1982
The Time Machine,1960
Nosferatu,1922
Hamlet,1996
Pink Floyd: The Wall,1982
What Ever Happened to Baby Jane?,1962
Forbidden Planet,1956
Glengarry Glen Ross,1992
Nausicaä of the Valley of the Wind,1984
La Haine,1995
Stranger Than Fiction,2006
Happiness,1998
The Wicker Man,1973
Mommy,I) (2014
The Adventures of Robin Hood,1938
The Quiet Man,1952
The Omen,1976
The Salesman,2016
The Man Who Wasn't There,2001
The Conversation,1974
King Kong,1933
A Man Called Ove,2015
Where Eagles Dare,1968
I Am Sam,2001
The Diving Bell and the Butterfly,2007
Night of the Living Dead,1968
Once,I) (2007
October Sky,1999
Breaking the Waves,1996
Run Lola Run,1998
Black Book,2006
La Dolce Vita,1960
Persona,1966
The Little Prince,2015
Fanny and Alexander,1982
La Vie en Rose,2007
Amour,2012
Winter Sleep,2014
This Is England,2006
The Last Temptation of Christ,1988
Giant,1956
Head-On,2004
25th Hour,2002
Chaplin,1992
Rashomon,1950
Days of Heaven,1978
On Golden Pond,1981
Manhattan,1979
The Man Who Shot Liberty Valance,1962
Letters from Iwo Jima,2006
The Red Violin,1998
Cabaret,1972
House of Sand and Fog,2003
Land of Mine,2015
Notorious,1946
The Player,1992
The Straight Story,1999
Badlands,1973
Witness for the Prosecution,1957
A Christmas Story,1983
Three Colors: Blue,1993
Drishyam,2015
Castle in the Sky,1986
Modern Times,1936
Blood Simple,1984
The Maltese Falcon,1941
It Happened One Night,1934
United 93,2006
My Left Foot,1989
Three Colors: Red,1994
Belle de Jour,1967
Guess Who's Coming to Dinner,1967
Nebraska,2013
Fantasia,1940
City Lights,1931
My Name Is Khan,2010
Pride,I) (2014
Kiki's Delivery Service,1989
Paper Moon,1973
Children of Heaven,1997
Freaks,1932
Kelly's Heroes,1970
Paprika,2006
The Mirror,1975
The Lion in Winter,1968
Rope,1948
Bicycle Thieves,1948
The Big Sleep,1946
Zulu,1964
"I, Daniel Blake",2016
Breathless,1960
Shine,1996
The 400 Blows,1959
Open Your Eyes,1997
All Quiet on the Western Front,1930
Strangers on a Train,1951
Being There,1979
Waking Life,2001
"Planes, Trains & Automobiles",1987
Dead Man,1995
The Wave,2008
The African Queen,1951
The King of Comedy,1982
Good Bye Lenin!,2003
"Duck, You Sucker",1971
The Producers,1967
Thank You for Smoking,2005
Patton,1970
A Prophet,2009
Dead Man's Shoes,2004
Infernal Affairs,2002
The Man from Nowhere,2010
Henry V,1989
Weekend,II) (2011
Andrei Rublev,1966
Dial M for Murder,1954
Rio Bravo,1959
The Wind Rises,2013
Tangerines,2013
Pink,III) (2016
The Flowers of War,2011
From Here to Eternity,1953
Who's Afraid of Virginia Woolf?,1966
The Guns of Navarone,1961
Mr. Smith Goes to Washington,1939
Cat on a Hot Tin Roof,1958
The Broken Circle Breakdown,2012
Mysterious Skin,2004
Jeremiah Johnson,1972
Baahubali: The Beginning,2015
The Kite Runner,2007
Detachment,2011
Touch of Evil,1958
Dracula,1931
Tokyo Story,1953
The Chaser,2008
Philomena,2013
Key Largo,1948
Judgment at Nuremberg,1961
The Grapes of Wrath,1940
Headhunters,2011
Elite Squad,2007
The Killing Fields,1984
The Verdict,1982
Stagecoach,1939
The Manchurian Candidate,1962
The Night of the Hunter,1955
Yojimbo,1961
Leviathan,2014
A Very Long Engagement,2004
5 Centimeters Per Second,2007
Frankenstein,1931
Talk to Her,2002
Song of the Sea,2014
The Treasure of the Sierra Madre,1948
Volver,I) (2006
The Meaning of Life,1983
The Odd Couple,1968
Lady Vengeance,2005
The White Ribbon,2009
Short Cuts,1993
Once Were Warriors,1994
The Hustler,1961
Hannah and Her Sisters,1986
Frost/Nixon,2008
Wild Strawberries,1957
Arrietty,2010
Ninja Scroll,1993
The Past,2013
The Sea Inside,I) (2004
Repulsion,1965
The Day the Earth Stood Still,1951
The Killing,1956
Rang De Basanti,2006
A Hard Day's Night,1964
The Kid,1921
Love Me If You Dare,2003
The Day of the Jackal,1973
Fitzcarraldo,1982
The Motorcycle Diaries,2004
The Vanishing,1988
Sleuth,1972
Control,2007
Ikiru,1952
"South Park: Bigger, Longer & Uncut",1999
Lagaan: Once Upon a Time in India,2001
Once Upon a Time in Anatolia,2011
Deep Red,1975
Anatomy of a Murder,1959
The Legend of 1900,1998
Sunrise,1927
All About My Mother,1999
The Great Debaters,2007
Persepolis,2007
Sympathy for Mr. Vengeance,2002
Wolf Children,2012
Drunken Master,1978
The Cabinet of Dr. Caligari,1920
A Bittersweet Life,2005
Queen,2013
Red River,1948
Delicatessen,1991
A Man for All Seasons,1966
The Lady Vanishes,1938
The City of Lost Children,1995
The Tenant,1976
Zindagi Na Milegi Dobara,2011
Mustang,2015
Invasion of the Body Snatchers,1956
Death Note,2006
To Have and Have Not,1944
The World's Fastest Indian,2005
My Father and My Son,2005
His Girl Friday,1940
Laura,1944
Arsenic and Old Lace,1944
Cell 211,2009
Baahubali 2: The Conclusion,2017
About Elly,2009
The Bandit,1996
The Celebration,1998
Night on Earth,1991
"Aguirre, the Wrath of God",1972
Little Big Man,1970
The Girl Who Leapt Through Time,2006
The Battle of Algiers,1966
Mother,2009
The Station Agent,2003
Whisper of the Heart,1995
13 Assassins,2010
The Many Adventures of Winnie the Pooh,1977
Out of the Past,1947
My Sassy Girl,2001
Au Revoir les Enfants,1987
Bringing Up Baby,1938
The Chorus,2004
The Passion of Joan of Arc,1928
Peeping Tom,1960
Porco Rosso,1992
Cries & Whispers,1972
The Muppet Movie,1979
The Nights of Cabiria,1957
Fearless,2006
Spellbound,1945
Le Samouraï,1967
"Spring, Summer, Fall, Winter... and Spring",2003
Secrets & Lies,1996
In America,2002
Elite Squad: The Enemy Within,2010
The Sweet Hereafter,1997
The Wages of Fear,1953
The Lunchbox,2013
Departures,2008
Lilya 4-Ever,2002
The 39 Steps,1935
"4 Months, 3 Weeks and 2 Days",2007
Il Postino: The Postman,1994
Bride of Frankenstein,1935
The Tale of The Princess Kaguya,2013
Crimes and Misdemeanors,1989
Battleship Potemkin,1925
La Strada,1954
Amarcord,1973
Throne of Blood,1957
Barfi!,2012
Kagemusha,1980
Batman: Mask of the Phantasm,1993
Three Colors: White,1994
The General,1926
You Can Count on Me,2000
Shadow of a Doubt,1943
The Experiment,2001
The Return,2003
Diabolique,1955
The Purple Rose of Cairo,1985
In a Better World,2010
The Double Life of Véronique,1991
The Lost Weekend,1945
Hard Boiled,1992
The Visitor,I) (2007
"Black Cat, White Cat",1998
3-Iron,2004
Ivan's Childhood,1962
Harvey,1950
After the Wedding,2006
Boy A,2007
Evil,2003
Kahaani,2012
Dil Chahta Hai,2001
The Secret of Kells,2009
Love and Death,1975
The Discreet Charm of the Bourgeoisie,1972
The Invisible Man,1933
Down by Law,1986
Dilwale Dulhania Le Jayenge,1995
The Edge of Heaven,2007
G.O.R.A.,2004
Jules and Jim,1962
The Gold Rush,1925
Adam's Apples,2005
Haider,2014
Duck Soup,1933
The Hidden Fortress,1958
Cowboy Bebop: The Movie,2001
Drunken Master II,1994
Interstate 60: Episodes of the Road,2002
The Triplets of Belleville,2003
Miracle on 34th Street,1947
The Killer,1989
Dev D,2009
Waltz with Bashir,2008
Bajrangi Bhaijaan,2015
Joyeux Noel,2005
Sanjuro,1962
Airlift,2016
Sherlock Jr.,1924
The Message,1976
Kal Ho Naa Ho,2003
Udaan,2010
The Counterfeiters,2007
Veer-Zaara,2004
Kind Hearts and Coronets,1949
La Grande Illusion,1937
Vicky Donor,2012
Le Dîner de Cons,1998
Black,2005
Tokyo Godfathers,2003
Nine Queens,2000
Jab We Met,2007
A Wednesday,2008
No Man's Land,I) (2001
Zelig,1983
Andaz Apna Apna,1994
Hera Pheri,2000
Underground,1995
Tae Guk Gi: The Brotherhood of War,2004
Vampire Hunter D: Bloodlust,2000
C.R.A.Z.Y.,2005
OMG: Oh My God!,2012
Paan Singh Tomar,2012
Munna Bhai M.B.B.S.,2003
Swades,2004
The Muppet Christmas Carol,1992
Chak de! India,2007
A Night at the Opera,1935
Confessions,2010
Bhaag Milkha Bhaag,2013
Sholay,1975
Vizontele,2001
Central Station,1998
Special 26,2013
Baby,I) (2015
The Barbarian Invasions,2003
And Now for Something Completely Different,1971
The Breath,2009
English Vinglish,2012
Lage Raho Munna Bhai,2006
